point,temperature,humidity 
강릉,23.4,89 
강진군,28.4,86 
강화,23.9,97 
거제,25.0,92 
거창,23.9,99 
경주시,22.7,96 
고산,27.7,96 
고창,24.6,100 
고창군,24.3,93 
고흥,28.7,83 
광양시,27.8,84 
광주,24.6,99 
구미,23.6,99 
군산,25.5,93 
금산,24.4,95 
김해시,24.1,99 
남원,23.8,100 
남해,27.1,89 
대관령,23.1,87 
대구,23.2,94 
대전,25.4,97 
동두천,24.1,94 
동해,20.9,98 
목포,27.8,88 
문경,21.6,99 
밀양,26.5,90 
백령도,23.2,95 
보령,26.5,86 
보성군,29.1,82 
보은,22.4,96 
봉화,21.7,90 
부산,22.7,96 
부안,25.0,97 
부여,25.7,92 
북강릉,21.5,92 
북창원,27.4,98 
북춘천,23.6,93 
산청,24.3,100 
상주,21.6,100 
서귀포,27.7,97 
서산,27.1,84 
서울,23.4,97 
성산,28.7,85 
세종,24.0,94 
속초,23.3,91 
수원,25.6,95 
순창군,23.8,97 
순천,23.8,97 
안동,22.5,91 
양산시,24.5,99 
양평,23.8,96 
여수,26.8,91 
영광군,25.1,97 
영덕,22.9,95 
영월,24.7,80 
영주,21.5,99 
영천,22.8,96 
완도,29.8,79 
울릉도,22.3,93 
울산,23.2,98 
울진,21.1,98 
원주,25.8,69 
의령군,26.4,93 
의성,23.1,93 
이천,24.2,100 
인제,24.0,81 
인천,24.5,97 
임실,23.0,99 
장수,23.5,99 
장흥,27.3,92 
전주,25.5,93 
정선군,23.8,91 
제주,30.2,75 
제천,24.5,82 
진도군,26.6,93 
진주,25.8,94 
창원,24.1,94 
천안,24.1,99 
철원,26.0,90 
청송군,22.5,99 
청주,24.7,89 
추풍령,22.0,91 
춘천,23.7,85 
충주,24.2,86 
태백,21.7,86 
통영,25.5,100 
파주,23.9,96 
포항,23.0,93 
함양군,24.1,96 
합천,24.4,100 
해남,27.3,90 
홍성,27.6,85 
홍천,23.7,89 
흑산도,24.1,99 
